#Archive/File	Name	Time	Size	Type
Archive	GSE124409_RAW.tar	11/09/2020 14:04:14	887101440	TAR
File	GSM3532128_wt_r1_40000_iced_chr_matrix.tar.gz	12/25/2018 03:29:19	85203083	TAR
File	GSM3532128_wt_r1_40000_raw_chr_matrix.tar.gz	12/25/2018 03:31:57	33462852	TAR
File	GSM3532128_wt_r1_500000_iced_wholegenome.matrix.gz	12/25/2018 03:34:09	34028089	MATRIX
File	GSM3532128_wt_r1_500000_raw_wholegenome.matrix.gz	12/25/2018 03:34:57	11829114	MATRIX
File	GSM3532129_wt_r2_40000_iced_chr_matrix.tar.gz	12/25/2018 23:13:23	114867192	TAR
File	GSM3532129_wt_r2_40000_raw_chr_matrix.tar.gz	12/25/2018 23:15:23	43508922	TAR
File	GSM3532129_wt_r2_500000_iced_wholegenome.matrix.gz	12/25/2018 23:17:27	44149057	MATRIX
File	GSM3532129_wt_r2_500000_raw_wholegenome.matrix.gz	12/25/2018 23:18:19	14812386	MATRIX
File	GSM3532130_B1KO_r1_40000_iced_chr_matrix.tar.gz	12/23/2018 21:33:32	109188904	TAR
File	GSM3532130_B1KO_r1_40000_raw_chr_matrix.tar.gz	12/23/2018 21:35:27	42182255	TAR
File	GSM3532130_B1KO_r1_500000_iced_wholegenome.matrix.gz	12/23/2018 21:37:26	48640436	MATRIX
File	GSM3532130_B1KO_r1_500000_raw_wholegenome.matrix.gz	12/23/2018 21:38:10	15685515	MATRIX
File	GSM3532131_B1KO_r2_40000_iced_chr_matrix.tar.gz	12/24/2018 14:19:36	111323345	TAR
File	GSM3532131_B1KO_r2_40000_raw_chr_matrix.tar.gz	12/24/2018 14:21:23	42940233	TAR
File	GSM3532131_B1KO_r2_500000_iced_wholegenome.matrix.gz	12/24/2018 14:23:32	49377656	MATRIX
File	GSM3532131_B1KO_r2_500000_raw_wholegenome.matrix.gz	12/24/2018 14:24:11	15894940	MATRIX
File	GSM4557168_WT_atac.bw	05/11/2020 19:54:56	46386587	BW
File	GSM4557169_KO_atac.bw	05/11/2020 19:42:23	23598465	BW
