#Archive/File	Name	Time	Size	Type
Archive	GSE130140_RAW.tar	09/22/2021 13:27:13	10165616640	TAR
File	GSM3732717_Tcell_rep1_quant.sf.txt.gz	08/18/2020 18:49:48	2771057	TXT
File	GSM3732718_Tcell_rep2_quant.sf.txt.gz	08/18/2020 18:49:48	2764470	TXT
File	GSM3732719_Tcell_rep3_quant.sf.txt.gz	08/18/2020 18:49:49	2850799	TXT
File	GSM3732720_Tcell_rep4_quant.sf.txt.gz	08/18/2020 18:49:49	2800432	TXT
File	GSM3732721_Jurkat_rep1_quant.sf.txt.gz	04/22/2019 12:13:32	2986129	TXT
File	GSM3732722_Jurkat_rep2_quant.sf.txt.gz	04/22/2019 12:13:33	3068880	TXT
File	GSM3732723_Jurkat_rep3_quant.sf.txt.gz	04/22/2019 12:13:34	3027632	TXT
File	GSM3732724_Patient1_rep1_quant.sf.txt.gz	08/18/2020 18:49:50	2826836	TXT
File	GSM3732725_Patient1_rep2_quant.sf.txt.gz	08/18/2020 18:49:50	2559696	TXT
File	GSM3732726_Patient2_quant.sf.txt.gz	08/18/2020 18:49:51	2806350	TXT
File	GSM3732727_Jurkat_DMSO_rep1_quant.sf.txt.gz	04/22/2019 12:13:36	2712431	TXT
File	GSM3732728_Jurkat_DMSO_rep2_quant.sf.txt.gz	04/22/2019 12:13:37	2711838	TXT
File	GSM3732729_Jurkat_GSI3d_rep1_quant.sf.txt.gz	04/22/2019 12:13:38	2702760	TXT
File	GSM3732730_Jurkat_GSI3d_rep2_quant.sf.txt.gz	04/22/2019 12:13:38	2688596	TXT
File	GSM3732731_Jurkat_GSI3d_w4hr_rep1_quant.sf.txt.gz	04/22/2019 12:13:39	2938471	TXT
File	GSM3732732_Jurkat_GSI3d_w4hr_rep2_quant.sf.txt.gz	04/22/2019 12:13:39	2636457	TXT
File	GSM3732733_Cutll1_DMSO_rep1_quant.sf.txt.gz	04/22/2019 12:13:40	2734499	TXT
File	GSM3732734_Cutll1_DMSO_rep2_quant.sf.txt.gz	04/22/2019 12:13:41	2833093	TXT
File	GSM3732735_Cutll1_GSI3d_rep1_quant.sf.txt.gz	04/22/2019 12:13:41	2853915	TXT
File	GSM3732736_Cutll1_GSI3d_rep2_quant.sf.txt.gz	04/22/2019 12:13:42	2883449	TXT
File	GSM3732737_Cutll1_GSI3d_w6hr_rep1_quant.sf.txt.gz	04/22/2019 12:13:43	2872709	TXT
File	GSM3732738_Cutll1_GSI3d_w6hr_rep2_quant.sf.txt.gz	04/22/2019 12:13:43	2808919	TXT
File	GSM3732739_JURKAT_CTCF1.bw	01/06/2020 16:22:47	180128863	BW
File	GSM3732739_JURKAT_CTCF1_sort_peaks.narrowPeak.bed.gz	04/22/2019 12:13:43	330149	BED
File	GSM3732740_JURKAT_CTCF2.bw	01/06/2020 16:22:48	159293632	BW
File	GSM3732740_JURKAT_CTCF2_sort_peaks.narrowPeak.bed.gz	04/22/2019 12:13:44	557497	BED
File	GSM3732743_CUTLL1_CTCF1.bw	01/06/2020 16:22:34	177814282	BW
File	GSM3732743_CUTLL1_CTCF1_sort_peaks.narrowPeak.bed.gz	04/22/2019 12:13:44	164960	BED
File	GSM3732744_CUTLL1_CTCF2.bw	01/06/2020 16:22:35	158787780	BW
File	GSM3732744_CUTLL1_CTCF2_sort_peaks.narrowPeak.bed.gz	04/22/2019 12:13:44	267004	BED
File	GSM3732747_CUTLL1_DMSO.bw	01/06/2020 16:22:37	219971324	BW
File	GSM3732747_CUTLL1_DMSO_sort_peaks.narrowPeak.bed.gz	04/22/2019 12:13:44	572641	BED
File	GSM3732749_CUTLL1_GSI.bw	01/06/2020 16:22:40	358890446	BW
File	GSM3732749_CUTLL1_GSI_sort_peaks.narrowPeak.bed.gz	04/22/2019 12:13:45	750087	BED
File	GSM3732751_Patient1_CTCF_rep1_sort_peaks.narrowPeak.bed.gz	08/18/2020 18:49:51	612898	BED
File	GSM3732751_Patient1_CTCF_rep1_treat.bw	01/06/2020 16:28:31	216592218	BW
File	GSM3732752_Patient1_CTCF_rep2_sort_peaks.narrowPeak.bed.gz	08/18/2020 18:49:51	596269	BED
File	GSM3732752_Patient1_CTCF_rep2_treat.bw	01/06/2020 16:28:44	237019215	BW
File	GSM3732754_Patient2_CTCF_rep1_sort_peaks.narrowPeak.bed.gz	08/18/2020 18:49:51	396369	BED
File	GSM3732754_Patient2_CTCF_rep1_treat.bw	01/06/2020 16:29:03	207293480	BW
File	GSM3732755_Patient2_CTCF_rep2_sort_peaks.narrowPeak.bed.gz	08/18/2020 18:49:51	396008	BED
File	GSM3732755_Patient2_CTCF_rep2_treat.bw	01/06/2020 16:29:15	210701626	BW
File	GSM3732757_JURKAT_DMSO_rep1_sort_peaks.narrowPeak.bed.gz	04/22/2019 12:13:46	258576	BED
File	GSM3732757_JURKAT_DMSO_rep1_treat.bw	01/06/2020 16:39:35	299216811	BW
